Page,Date,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
www.usfca.edu/arts-sciences/undergraduate-programs/communication-studies,20170512,20,18,39.18,7,42.86%,15.00%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/communication-studies,20170511,28,23,16.83,9,22.22%,17.86%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/communication-studies,20170510,38,32,41.38,11,36.36%,15.79%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/communication-studies,20170509,26,21,34.45,5,40.00%,23.08%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/communication-studies,20170508,40,30,28.16,5,20.00%,7.50%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/communication-studies,20170507,15,15,20.71,4,25.00%,6.67%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/communication-studies,20170506,24,15,24.90,2,50.00%,16.67%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/communication-studies,20170505,26,19,41.90,7,28.57%,19.23%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/communication-studies,20170504,28,22,48.38,4,50.00%,14.29%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/communication-studies,20170503,40,33,26.91,9,22.22%,20.00%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/communication-studies,20170502,45,37,30.51,4,50.00%,17.78%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/communication-studies,20170501,28,27,36.91,2,50.00%,17.86%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/communication-studies,20170430,27,24,45.88,2,50.00%,7.41%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/communication-studies,20170429,27,23,23.43,3,0.00%,14.81%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/communication-studies,20170428,22,19,20.89,2,100.00%,18.18%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/communication-studies,20170427,33,27,24.85,7,28.57%,21.21%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/communication-studies,20170426,35,30,71.12,12,50.00%,25.71%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/communication-studies,20170425,22,21,76.44,6,66.67%,18.18%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/communication-studies,20170424,24,22,34.91,3,33.33%,8.33%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/communication-studies,20170423,30,23,27.37,6,33.33%,10.00%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/communication-studies,20170422,26,22,39.96,7,0.00%,7.69%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/communication-studies,20170421,25,21,33.35,7,28.57%,20.00%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/communication-studies,20170420,49,39,17.42,13,38.46%,22.45%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/communication-studies,20170419,33,30,26.44,7,42.86%,18.18%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/communication-studies,20170418,47,37,76.74,11,36.36%,25.53%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/communication-studies,20170417,44,37,36.54,7,14.29%,11.36%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/communication-studies,20170416,23,20,25.86,4,0.00%,4.35%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/communication-studies,20170415,21,15,44.88,4,25.00%,19.05%,0.00
www.usfca.edu/arts-sciences/undergraduate-programs/communication-studies,20170414,31,25,41.89,9,22.22%,9.68%,0.00
